words	score	chen	\dylan	3rd
irrigation	seedwords			
corn	seedwords			
wheat	seedwords			
farmland	seedwords			
farm	seedwords			
dairy	seedwords			
grazing	seedwords			
grain	seedwords			
ranch	seedwords			
livestock	seedwords			
farming	seedwords			
harvested	seedwords			
harvest	seedwords			
planting	seedwords			
milk	seedwords			
agriculture	seedwords			
crop	seedwords			
alfalfa	0.7118542194366455			
dryland	0.6543440818786621			
orchards	0.6475670337677002			
irrigated	0.6432813405990601			
crops	0.6318753957748413			
watermelons	0.6243144869804382			
grains	0.6124680042266846			
barley	0.6101282238960266			
cowcalf	0.6090207099914551			
soybeans	0.6043356657028198			
forage	0.5999482870101929			
cropland	0.5975539088249207			
unharvested	0.590652346611023			
sorghum	0.5880841016769409			
cattle	0.5846142768859863			
pastureland	0.5794737339019775			
irrigating	0.5790769457817078			
soybean	0.5724106431007385			
irrigate	0.5711565613746643			
feedlots	0.5696592330932617			
agricultural	0.5680310726165771			
sugarcane	0.5637834072113037			
hogs	0.5614255666732788			
tilling	0.5608230233192444			
canola	0.560275137424469			
rapeseed	0.5598360300064087			
harvests	0.557880163192749			
pasture	0.5576372146606445			
forages	0.5566349029541016			
pistachios	0.5548244714736938			
cherries	0.5517966747283936			
cucumbers	0.5513250827789307			
farmed	0.5507857799530029			
fertilizer	0.5495615005493164			
farms	0.5491499900817871			
growers	0.5490032434463501			
notill	0.5485048294067383			
oilseed	0.5473352670669556			
beets	0.547186017036438			
sugarbeet	0.5458376407623291			
pollinate	0.5457077026367188			
lentils	0.5455045700073242			
chickpeas	0.5421125888824463			
camelina	0.5415213704109192			
potatoes	0.5413374304771423			
papaya	0.5409942865371704			
pastures	0.5371500253677368			
dairyman	0.5360827445983887			
asparagus	0.5360058546066284			
bushels	0.5348584651947021			
almonds	0.5339654684066772			
onions	0.5334131717681885			
feedlot	0.5330528616905212			
miscanthus	0.5277172327041626			
fertilize	0.5256929397583008			
walnuts	0.5253854990005493			
prunes	0.5241222381591797			
familysized	0.5236458778381348			
farmer	0.523269772529602			
pecan	0.5226863026618958			
blueberries	0.522441565990448			
flaxseed	0.5222622156143188			
grower	0.5217444896697998			
cranberries	0.5208168029785156			
timber	0.5207228660583496			
feeders	0.5193451642990112			
fescue	0.5175157785415649			
farmlands	0.5163451433181763			
reseeded	0.5162410140037537			
farmers	0.5141550302505493			
lettuce	0.5139723420143127			
onfarm	0.5136646032333374			
calves	0.513435423374176			
kernels	0.5126861333847046			
seedlings	0.5125751495361328			
herds	0.5124260187149048			
cattlemen	0.5119202136993408			
cantaloupes	0.511447548866272			
plantings	0.5113823413848877			
beet	0.5097452402114868			
cranberry	0.5093051195144653			
familysize	0.5091856718063354			
barns	0.5078175067901611			
tilled	0.5072373747825623			
replant	0.5070508122444153			
berries	0.5047299265861511			
tomatoes	0.504432201385498			
tomato	0.503040611743927			
legumes	0.5028867721557617			
dairies	0.501988410949707			
cotton	0.5017691850662231			
nonprogram	0.5009225606918335			
pecans	0.5000985860824585			
watermelon	0.4989999830722809			
crawfish	0.4976940155029297			
grasses	0.49764734506607056			
pollinating	0.4961008131504059			
celery	0.49586021900177			
rowcrop	0.4949961304664612			
broilers	0.49496564269065857			
